Target,Target_Namespace,Target_Method,Job_Id,Job_OutlierMode,Job_Toolchain,Job_IterationCount,Job_LaunchCount,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes,AllocatedKB,heuristic,s,size
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=2,0,Workload,Result,14,746501300,4096,182.25129,47,9,0,122423,119.5537109375,entropy,2,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=2,0,Workload,Result,15,654751400,4096,159.85142000000002,47,9,0,122423,119.5537109375,entropy,2,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,1,694079700,4096,169.45305,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,2,692280900,4096,169.01389,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,3,713235000,4096,174.12964000000002,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,4,700050600,4096,170.91079000000002,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,5,702122600,4096,171.41665,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,6,699971100,4096,170.89138,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,7,697279400,4096,170.23423,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,8,706643800,4096,172.52045999999999,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,9,695823600,4096,169.87881,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,10,690918300,4096,168.68123,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,11,692378000,4096,169.0376,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,12,689078500,4096,168.23206,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,13,710078800,4096,173.35907999999998,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,14,700015300,4096,170.90217,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=3,0,Workload,Result,15,691678600,4096,168.86685,47,9,0,122423,119.5537109375,entropy,3,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,1,732612500,4096,178.86047,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,2,727279600,4096,177.5585,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,3,732913200,4096,178.93389000000002,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,4,747854500,4096,182.58167,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,5,744621600,4096,181.79238,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,6,727161800,4096,177.52974,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,7,724733600,4096,176.93691,47,9,0,122423,119.5537109375,entropy,4,10
Benchmark.OriginalModel,Benchmarks,Basic,MediumRun,DontRemove,InProcessNoEmitToolchain,15,1,10,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=4,0,Workload,Result,8,728715400,4096,177.90903,47,9,0,122423,119.5537109375,entropy,4,10
